Injury: Eye, unhealed.	6009	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Injury: Foot	5284	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Injury: Gallbladder	7317	GI Gallbladder & pancreas	GB	Digestive (Liver, Gall Bladder & Pancreas)
Injury: Larynx	6520	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Injury: Lips	7201	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Mouth, Lips &Tongue)
Injury: Liver	7311	GI Liver conditions: Hepatitis, cirrhosis & other liver	Liver	Digestive (Liver, Gall Bladder & Pancreas)
Injury: Mouth	7200	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Mouth, Lips & Tongue)
Injury: Muscle: Facial	5325	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Injury: Muscle: Groups I to XXIII	5301 to 5323	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Injury: Pharynx	6521	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Injury: Pleural cavity	6843	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Injury: Prostate	7527	GU Male reproductive system	Male	Special Examinations (Genitourinary)
Injury: Sacroiliac	5236	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Injury: Spleen	7707	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Injury: Stomach, residuals	7310	GI Stomach & duodenum	Stomach	Digestive (Stomach, Duodenum, Peritoneal)
Injury: Tongue, whole or part	7202	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Mouth, Lips &Tongue)
Inradermal nevi	7819	DERM Skin	Skin	Skin (Skin Disease)
Insomnia	9499	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Interstitial cystitis	7512	GU Urinary tract (bladder and urethra)	Ur tract	Special Examinations (Genitourinary)
Interstitial fibrosis, diffuse	6825	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Interstitial nephritis	7537	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Interstitial pneumonitis	6825	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Interstitial pneumonitis, desquamative	6826	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Intertrigo	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Intervertebral disc disease	5243	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Intestinal distomiasis	7324	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Intestinal parasitic infection	7399-7324	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Intestine, fistula of, persistent	7330	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Intestine, large, resection of	7329	GI Intestines (surgical)	GI surg	Digestive (Intestines [Large and Small])
Intestine, small, resection of	7328	GI Intestines (surgical)	GI surg	Digestive (Intestines [Large and Small])
Intraocular hemorrhage	6007	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
intraocular hypertension	6099-6013	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Intravascular coagulation (disseminated) with renal cortical necrosis	7540	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Involutional melancholia	9210	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Iritis	6003	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Iron Deficiency Anemia	7720	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Irritable bowel syndrome	7319	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Irritable colon syndrome	7319	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Jakob-Creutzfeldt disease	8099-8000	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Jaundice	7345	GI Liver conditions: Hepatitis, cirrhosis & other liver	Liver	Digestive (Liver, Gall Bladder & Pancreas)
Jaw, fracture of	9999-9904	DENTAL Dental & oral (other than TMJ)/MUSC Temporomandibular joint	Dental	Special Examinations (Dental and Oral Examination)
Jungle rot	7899-7806/13 or 7122	Cold injury residuals/DERM Skin	Cold Inj/Skin	Skin (Skin Disease)
Jungle rot of feet (trench foot)	7122 or 7813	Cold injury residuals/DERM Skin	Cold Inj/Skin	Special Examinations (Cold Injury Protocol Examination)
Kala-azar (Visceral Leishmaniasis)	6301	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Kaposi's sarcoma	7799-7709	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Kerastosis	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Keratitis	6001	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Keratoconus	6035	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Keratoderma	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Kidney: Abcess	7501	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Calculus	7508	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Cancer	7528	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet*
Kidney: Cystic diseases of	7533	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Enlarged	7599-7502	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Horseshoe	7599-7502	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Medullary sponge kidney	7533	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Polycystic disease	7533	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Removal of one	7500	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Stones	7508	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Transplant	7531	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Kidney: Tuberculosis of	7505	INFECT Tuberculosis	TB	Specialist Exams (GU-Renal)--BACK of worksheet
Knee: Ankylosis of	5256	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Knee: Internal derangement	5257 to 5263	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Knee: Meniscectomy	5257 to 5263	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Knee: Other impairment with instability	5257	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Knee: Replacement (prosthesis)	5055	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Knee: Residuals of injury	5257 to 5263	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Korsakoff's psychosis or syndrome	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Kyphoscoliosis, pectus excavatum, pectus carinatum	6842	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Kyphosis, dorsal	5237	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Labyrinthitis	6204	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Laceration, except face and neck	7805	DERM Scars	Scar	Skin (Scars)
Laceration, face and neck	7800	DERM Scars	Scar	Skin (Scars)
Lacrymal duct epiphora	6025	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Laennec's cirrhosis	7312	GI Liver conditions: Hepatitis, cirrhosis & other liver	Liver	Digestive (Liver, Gall Bladder & Pancreas)
Lagophthalmos	6022	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Laminectomy	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Large artery, any, aneurysm	7111	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Laryngectomy	6518	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Laryngitis, chronic	6516	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Laryngitis, tuberculous	6515	INFECT Tuberculosis	TB	Respiratory (Nose, Sinus, Larynx & Pharynx)
Larynx, cancer of	6819	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Resp. Diseases)*
Larynx, stenosis of, including residuals of laryngeal trauma	6520	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Leg pain	5299/varies	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Joints)
Leg swelling	7118	CARDIO Arteries & veins (vascular)	Vasc	Cardiovascular System (Arteries, Veins and Misc.)
Leg, limitation of extension	5261	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Leg, limitation of flexion	5260	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Leiomyosarcoma, epithelioid	7343 or 7627	GI Intestines (other than surgical or infectious)/GYN Gynecological conditions	GI other/GYN	Digestive (Digestive Conditions, Misc.) or GYN
Leiomyosarcoma, large intestine	7343	GI Intestines (other than surgical or infectious)	GI other	Digestive (Digestive Conditions, Misc.)*
Leiomyosarcoma, stomach	7343	GI Stomach & duodenum	Stomach	Digestive (Digestive Conditions, Misc.)*
Leishmaniasis americana	7807	DERM Skin	Skin	Skin (Skin Disease)
Leishmaniasis, old world	7808	DERM Skin	Skin	Skin (Skin Disease)
Leishmaniasis, visceral	6301	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Lens, crystalline, dislocation of	6033	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Lens, subluxated	6099-6029	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Leprosy (Hansen's disease)	6302	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Leukemia	7703	HEM Hemic & lymphatic, including leukemia/Hairy Cell & other B-cell leukemias	Hem/Leuk	Specialist Exams (Hematology)
Leukemia (except for chronic myelogenous leukemia) 	7703	HEM Hairy Cell & other B-cell leukemias	Leuk	Specialist Exams (Hematology)
Leukemia, acute nonlymphocytic	7703	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Leukemia, Hairy cell & other B-cell leukemias	7703	HEM Hairy Cell & other B-cell leukemias	Leuk	Specialist Exams (Hematology)
Leukoderma	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Lichen planus	7899-7806	DERM Skin	Skin	Skin (Skin Disease)
Limitation of extension: Forearm	5207	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Limitation of extension: Leg	5261	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Limitation of extension: Leg and foot	5261 or 5284	MUSC Knee & lower leg/Foot Conditions including flatfoot (pes planus)	Knee/FootMisc	Musculoskeletal (Joints)
Limitation of extension: Thigh	5251	MUSC Hip & thigh	Hip	Musculoskeletal (Joints)
Limitation of field vision	6080	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Limitation of flexion and extension, forearm	5208	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Limitation of flexion: Forearm	5206	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Limitation of flexion: Leg	5260	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Limitation of flexion: Thigh	5252	MUSC Hip & thigh	Hip	Musculoskeletal (Joints)
Limitation of motion: Ankle	5271	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Limitation of motion: Arm	5201	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Limitation of motion: Cervical spine	5235 to 5243	MUSC Neck (cervical spine)	Neck	Musculoskeletal (Spine)
Limitation of motion: Dorsal (thoracic) spine	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Limitation of motion: Eye muscles	6090	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Limitation of motion: Leg	5260	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Limitation of motion: Lumbar spine	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Limitation of motion: Temporomandibular articulation	9905	DENTAL Dental & oral (other than TMJ)/MUSC Temporomandibular joint	Dental/TMJ	Special Examinations (Dental and Oral Examination)
Limitation of motion: Wrist	5215	MUSC Wrist	Wrist	Musculoskeletal (Joints)
Limitation of motion:Knee	5256 to 5263	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Limitation of motion:Thoracic spine	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Limitation, muscle function, eye	6090	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Limitation, pronation	5213	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Limitation, supination	5213	MUSC Elbow & forearm	Elbow	Musculoskeletal (Joints)
Limitation, visual field	6090	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Lips, injuries to	7201	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Mouth, Lips &Tongue)
Liver abcess	7313	GI Liver conditions: Hepatitis, cirrhosis & other liver	Liver	Digestive (Liver, Gall Bladder & Pancreas)
Liver, cirrhosis of	7312	RESP Respiratory conditions	Resp	Digestive (Liver, Gall Bladder & Pancreas)
Lobectomy, pulmonary, post-surgical residuals	6844	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Loss of tongue, all or part	7202	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Digestive Conditions, Misc.)
Loss of use of: Feet, both	5110	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Loss of use of: Foot, one	5167	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Loss of use of: Hand, one	5125	MUSC Hand & finger	Hand	Musculoskeletal (Hand, Thumb &  Fingers)
Loss of use of: Hands, both	5109	MUSC Hand & finger	Hand	Musculoskeletal (Hand, Thumb &  Fingers)
Loss of: Auricle, or deformity	6207	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Loss of: Condyloid process	9908	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Loss of: Coronoid process	9909	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Loss of: Eyebrows	6023	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Loss of: Eyelashes	6024	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Loss of: Lung (pneumonectomy), post-surgical residuals	6844	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Loss of: Mandible, complete	9901	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Loss of: Mandible, one-half	9902	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Loss of: Maxilla, half or less	9915	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Loss of: Maxilla, more than half	9914	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Loss of: Memory	9300 to 9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Loss of: Nose, loss of part of, or scars	6504 or 7800	ENT Sinusitis, rhinitis & other ENT conditions/DERM Scars	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Loss of: Palate, hard, half or less	9911	DENTAL Dental & oral (other than TMJ)	Dental	Respiratory (Nose, Sinus, Larynx & Pharynx)
Loss of: Palate, hard, less than half	9912	DENTAL Dental & oral (other than TMJ)	Dental	Respiratory (Nose, Sinus, Larynx & Pharynx)
Loss of: Pulmonary lobe (lobectomy)	6844	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Loss of: Ramus, all or part	9906	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Loss of: Ramus, less than one-half substance	9907	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Loss of: Skull, part	5296	ENT Ear conditions (see question 4, bone loss of skull)	Ear	Musculoskeletal (Bone Disease/Fractures)
Loss of: Smell, sense of	6275	ENT Loss of sense of smell & taste	Smell	Organs of Sense (Sense of Smell and Taste)
Loss of: Taste, sense of	6276	ENT Loss of sense of smell & taste	Smell	Organs of Sense (Sense of Smell and Taste)
Loss of: Teeth	9913	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Lou Gehrig's disease (Amyotrophic lateral sclerosis, ALS)	8017	NEURO Amyotrophic lateral sclerosis	ALS	Neurologic (Neurological Disorders, Misc.)
Low back derangement	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Low back strain	5237	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Lower extremity amputations	5160 to 5173	MUSC Amputations	Amp	Musculoskeletal (Amputations, residuals of)
Lumbago	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Lumbar vertebrae spur	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Lumbar vertebrae, straightening of lordotic curve	5235 to 5243	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Lumbosacral strain	5237	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Lung abscess, chronic	6824	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases, Misc.)
Lung cancer	6819	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases, Misc.)
Lung congestion	6899-6817	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Lung mycosis, unspecified	6899-6834	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases, Misc.)
Lung, blastomycosis	6836	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases, Misc.)
Lung, collapsed	6843	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Lung, removal of (pneumonectomy), post-surgical residuals	6844	RESP Respiratory conditions	Resp	Respiratory (Respiratory [Obstructive & Restrictive])
Lupus erythematosus, discoid	7809	AUTO IMM Systemic lupus erythematosus	SLE	Skin (Skin Disease)
Lupus erythematosus, disseminated	6350	AUTO IMM Systemic lupus erythematosus	SLE	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Lupus vulgaris (tuberculosis luposa)	7811	INFECT Tuberculosis	TB	Skin (Skin Disease)
Lupus, discoid	7809	AUTO IMM Systemic lupus erythematosus	SLE	Skin (Skin Disease)
Lupus, erythematosus systemic (disseminated)	6350	AUTO IMM Systemic lupus erythematosus	SLE	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Lyme disease	6319	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Lymphadenoma (term no longer in technical use)	7709	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Lymphatic Disorders)
Lymphatic filariasis	6305	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Lymphocytosis	7799-7702	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Lymphatic Disorders)
Lymphogranulomatosis (Hodgkin's disease)	7709	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Lymphatic Disorders)
Lymphoma	7709	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Lymphatic Disorders)
Lymphosarcoma	7709	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Lymphatic Disorders)*
Macroglobulinuria	7799-7715	HEM Hemic & lymphatic, including leukemia	Hem	Specialist Exams (GU-Renal)--BACK of worksheet
Macula, eye	6099-6001	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Macular degeneration	6099-6001	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Maculopathy	6099-6006	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Major depressive disorder	9434	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mal de mare (seasickness)	6299-6204	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Malabsorption syndrome secondary to sprue	6399-6319	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Malaria	6304	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Malignant neoplasm, gynecological system or breast	7627	GYN Breast conditions and disorders/Gynecological conditions	Breast/GYN	Specialist Exams (GYN-Gynecology/Breasts)--BACK of worksheet*
Malignant neoplasms of the breast	7630	GYN Breast Conditions and Disorders	BREAST	Special Exams (Gyn/Breasts) or Specialist Exams (Oncology)—Back of Worksheet
Malignant neoplasms of the hard and soft tissue	9918	DENTAL Oral and Dental Conditions Including Mouth, Lips and Tongue (Other than TMD Conditions)	DENTAL	Special Examinations (Dental and Oral Examination)
Malignant new growth of: Brain	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology)--BACK of worksheet*
Malignant new growth of: Digestive system	7343	GI Esophagus/Gallbladder & pancreas/Liver conditions/Intestines/Stomach & duodenum/GEN SURG Rectum & anus	Esoph/GB/Liver/GI other/GI infec/GI surg/Stomach/Rectum	Specialist Exams (Digestive [Gastroenterology])*
Malignant new growth of: Ear	6208	ENT Ear conditions/DERM Skin	Ear/Skin	Organs of Sense (Ear Disease)*
Malignant new growth of: Eyeball	6014	OPTO Eye	Eyes	Organs of Sense (Eye Examination)*
Malignant new growth of: Gynecological system or breast	7627	GYN Breast conditions and disorders/Gynecological conditions	Breast/GYN	Specialist Exams (GYN-Gynecology/Breasts)--BACK of worksheet*
Malignant new growth of: Skin	7818	DERM Skin	Skin	Specialist Exams (Skin [Dermatology])--BACK of worksheet*
Malignant new growth of: Spinal cord	8021	NEURO Central nervous system	CNS	Specialist Exams (Neurology)--BACK of worksheet*
Malnutrition	6399-6313	INFECT Nutritional deficiencies	Nutri	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Malta fever	6316	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Malunion: Clavicle	5203	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Malunion: Mandible	9904	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Malunion: Maxilla (or nonunion)	9916	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Malunion: Os calcis (or astragalus)	5273	MUSC Ankle	Ankle	Musculoskeletal (Joints)
Malunion: Scapula	5203	MUSC Shoulder & arm	Shoulder	Musculoskeletal (Joints)
Malunion: Tarsal or metatarsal (or nonunion)	5283	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Mandible: Chronic osteomyelitis or osteonecrosis of	9900	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Mandible: Loss of one-half	9902	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Mandible: Loss of, complete	9901	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Mandible: Malunion	9904	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Mandible: Nonunion	9903	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Mandibular prognathism (CDA)	9999-9904	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Marcus-Gunn pupil	6099-6006	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Marfan's syndrome with lens subluxation	6033	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Marie-Strumpell spondylitis	5240	MUSC Back (thoracolumbar spine)/Neck (cervical spine)	Back/Neck	Musculoskeletal (Spine)
Mastectomy	7626	GYN Breast conditions and disorders	Breast	Special Examinations (Gynecological/Breasts)
Mastocytosis, systemic, with gastrointestinal manifestations	7799-7319	HEM Hemic & lymphatic, including leukemia	DIGESTIVE	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition) - digestive
Mastocytosis, systemic, with skin manifestations	7799-7806	HEM Hemic & lymphatic, including leukemia	Skin	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition) - skin
Mastoidectomy	6206	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Mastoiditis	6205	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Maxilla: Chronic osteomyelitis or osteonecrosis of	9900	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Maxilla: Loss of half or less	9915	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Maxilla: Loss of more than half	9914	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Maxilla: Malunion of	9916	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Maxilla: Nonunion of	9916	DENTAL Dental & oral (other than TMJ)	Dental	Special Examinations (Dental and Oral Examination)
Maxillary sinusitis	6513	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Mechanical low back pain	5299-5237	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Spine)
Meckel's diverticulum	7399-7327	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Mediastinitis, sclerosing	6899	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Medullary sponge kidney	7533	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Megaloblastic anemia	7799-7722	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Melancholic, involutional	9210	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Melioidosis	6318	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Memory loss	9300 to 9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Meniere's disease	6205	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Meniere's syndrome (endolymphatic hydrops)	6205	ENT Ear conditions	Ear	Organs of Sense (Ear Disease)
Meningal adhesions due to trauma	8099-8022	NEURO Central nervous system/NEURO TBI Initial or Review	CNS/TBI-I/TBI-R	Neurologic (Brain and Spinal Cord)
Meningitis, cerebrospinal	8019	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Meningitis,cryptococcal	8099-8019	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Meniscectomy, knee, PO residuals	5259 or 5257	MUSC Knee & lower leg	Knee	Musculoskeletal (Joints)
Mental deficiency	9201 to 9440	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental disorders: Anxiety disorders: Generalized anxiety disorder	9400	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
